interv_start,interv_cvg_rate,interv_target,interv_cvg_max_prop,interv_efficacy,contact_rate_mean,imm_hum_baseline,scenario_id
14,0.003,priority_age5_frailty,0.4,0.9,3,1e-05,49
28,0.003,priority_age5_frailty,0.4,0.9,3,1e-05,50
-28,0.006,priority_age5_frailty,0.4,0.9,3,1e-05,51
-14,0.006,priority_age5_frailty,0.4,0.9,3,1e-05,52
0,0.006,priority_age5_frailty,0.4,0.9,3,1e-05,53
14,0.006,priority_age5_frailty,0.4,0.9,3,1e-05,54
28,0.006,priority_age5_frailty,0.4,0.9,3,1e-05,55
-28,0.012,priority_age5_frailty,0.4,0.9,3,1e-05,56
-14,0.012,priority_age5_frailty,0.4,0.9,3,1e-05,57
0,0.012,priority_age5_frailty,0.4,0.9,3,1e-05,58
14,0.012,priority_age5_frailty,0.4,0.9,3,1e-05,59
28,0.012,priority_age5_frailty,0.4,0.9,3,1e-05,60
-28,0.0015,never_sympt,0.4,0.9,3,1e-05,61
-14,0.0015,never_sympt,0.4,0.9,3,1e-05,62
0,0.0015,never_sympt,0.4,0.9,3,1e-05,63
14,0.0015,never_sympt,0.4,0.9,3,1e-05,64
28,0.0015,never_sympt,0.4,0.9,3,1e-05,65
-28,0.003,never_sympt,0.4,0.9,3,1e-05,66
-14,0.003,never_sympt,0.4,0.9,3,1e-05,67
0,0.003,never_sympt,0.4,0.9,3,1e-05,68
14,0.003,never_sympt,0.4,0.9,3,1e-05,69
28,0.003,never_sympt,0.4,0.9,3,1e-05,70
-28,0.006,never_sympt,0.4,0.9,3,1e-05,71
-14,0.006,never_sympt,0.4,0.9,3,1e-05,72
0,0.006,never_sympt,0.4,0.9,3,1e-05,73
14,0.006,never_sympt,0.4,0.9,3,1e-05,74
28,0.006,never_sympt,0.4,0.9,3,1e-05,75
-28,0.012,never_sympt,0.4,0.9,3,1e-05,76
-14,0.012,never_sympt,0.4,0.9,3,1e-05,77
0,0.012,never_sympt,0.4,0.9,3,1e-05,78
14,0.012,never_sympt,0.4,0.9,3,1e-05,79
28,0.012,never_sympt,0.4,0.9,3,1e-05,80
-28,0.0015,priority_age5_frailty,0.4,0.4,6,1e-05,81
-14,0.0015,priority_age5_frailty,0.4,0.4,6,1e-05,82
0,0.0015,priority_age5_frailty,0.4,0.4,6,1e-05,83
14,0.0015,priority_age5_frailty,0.4,0.4,6,1e-05,84
28,0.0015,priority_age5_frailty,0.4,0.4,6,1e-05,85
-28,0.003,priority_age5_frailty,0.4,0.4,6,1e-05,86
-14,0.003,priority_age5_frailty,0.4,0.4,6,1e-05,87
0,0.003,priority_age5_frailty,0.4,0.4,6,1e-05,88
14,0.003,priority_age5_frailty,0.4,0.4,6,1e-05,89
28,0.003,priority_age5_frailty,0.4,0.4,6,1e-05,90
-28,0.006,priority_age5_frailty,0.4,0.4,6,1e-05,91
-14,0.006,priority_age5_frailty,0.4,0.4,6,1e-05,92
0,0.006,priority_age5_frailty,0.4,0.4,6,1e-05,93
14,0.006,priority_age5_frailty,0.4,0.4,6,1e-05,94
28,0.006,priority_age5_frailty,0.4,0.4,6,1e-05,95
-28,0.012,priority_age5_frailty,0.4,0.4,6,1e-05,96
-14,0.012,priority_age5_frailty,0.4,0.4,6,1e-05,97
0,0.012,priority_age5_frailty,0.4,0.4,6,1e-05,98
14,0.012,priority_age5_frailty,0.4,0.4,6,1e-05,99
28,0.012,priority_age5_frailty,0.4,0.4,6,1e-05,100
-28,0.0015,never_sympt,0.4,0.4,6,1e-05,101
-14,0.0015,never_sympt,0.4,0.4,6,1e-05,102
0,0.0015,never_sympt,0.4,0.4,6,1e-05,103
14,0.0015,never_sympt,0.4,0.4,6,1e-05,104
28,0.0015,never_sympt,0.4,0.4,6,1e-05,105
-28,0.003,never_sympt,0.4,0.4,6,1e-05,106
-14,0.003,never_sympt,0.4,0.4,6,1e-05,107
0,0.003,never_sympt,0.4,0.4,6,1e-05,108
14,0.003,never_sympt,0.4,0.4,6,1e-05,109
28,0.003,never_sympt,0.4,0.4,6,1e-05,110
-28,0.006,never_sympt,0.4,0.4,6,1e-05,111
-14,0.006,never_sympt,0.4,0.4,6,1e-05,112
0,0.006,never_sympt,0.4,0.4,6,1e-05,113
14,0.006,never_sympt,0.4,0.4,6,1e-05,114
28,0.006,never_sympt,0.4,0.4,6,1e-05,115
-28,0.012,never_sympt,0.4,0.4,6,1e-05,116
-14,0.012,never_sympt,0.4,0.4,6,1e-05,117
0,0.012,never_sympt,0.4,0.4,6,1e-05,118
14,0.012,never_sympt,0.4,0.4,6,1e-05,119
28,0.012,never_sympt,0.4,0.4,6,1e-05,120
-28,0.0015,priority_age5_frailty,0.4,0.9,6,1e-05,121
-14,0.0015,priority_age5_frailty,0.4,0.9,6,1e-05,122
0,0.0015,priority_age5_frailty,0.4,0.9,6,1e-05,123
14,0.0015,priority_age5_frailty,0.4,0.9,6,1e-05,124
28,0.0015,priority_age5_frailty,0.4,0.9,6,1e-05,125
-28,0.003,priority_age5_frailty,0.4,0.9,6,1e-05,126
-14,0.003,priority_age5_frailty,0.4,0.9,6,1e-05,127
0,0.003,priority_age5_frailty,0.4,0.9,6,1e-05,128
14,0.003,priority_age5_frailty,0.4,0.9,6,1e-05,129
28,0.003,priority_age5_frailty,0.4,0.9,6,1e-05,130
-28,0.006,priority_age5_frailty,0.4,0.9,6,1e-05,131
-14,0.006,priority_age5_frailty,0.4,0.9,6,1e-05,132
0,0.006,priority_age5_frailty,0.4,0.9,6,1e-05,133
14,0.006,priority_age5_frailty,0.4,0.9,6,1e-05,134
28,0.006,priority_age5_frailty,0.4,0.9,6,1e-05,135
-28,0.012,priority_age5_frailty,0.4,0.9,6,1e-05,136
-14,0.012,priority_age5_frailty,0.4,0.9,6,1e-05,137
0,0.012,priority_age5_frailty,0.4,0.9,6,1e-05,138
14,0.012,priority_age5_frailty,0.4,0.9,6,1e-05,139
28,0.012,priority_age5_frailty,0.4,0.9,6,1e-05,140
-28,0.0015,never_sympt,0.4,0.9,6,1e-05,141
-14,0.0015,never_sympt,0.4,0.9,6,1e-05,142
0,0.0015,never_sympt,0.4,0.9,6,1e-05,143
14,0.0015,never_sympt,0.4,0.9,6,1e-05,144
28,0.0015,never_sympt,0.4,0.9,6,1e-05,145
-28,0.003,never_sympt,0.4,0.9,6,1e-05,146
-14,0.003,never_sympt,0.4,0.9,6,1e-05,147
0,0.003,never_sympt,0.4,0.9,6,1e-05,148
14,0.003,never_sympt,0.4,0.9,6,1e-05,149
28,0.003,never_sympt,0.4,0.9,6,1e-05,150
-28,0.006,never_sympt,0.4,0.9,6,1e-05,151
-14,0.006,never_sympt,0.4,0.9,6,1e-05,152
0,0.006,never_sympt,0.4,0.9,6,1e-05,153
14,0.006,never_sympt,0.4,0.9,6,1e-05,154
28,0.006,never_sympt,0.4,0.9,6,1e-05,155
-28,0.012,never_sympt,0.4,0.9,6,1e-05,156
-14,0.012,never_sympt,0.4,0.9,6,1e-05,157
0,0.012,never_sympt,0.4,0.9,6,1e-05,158
14,0.012,never_sympt,0.4,0.9,6,1e-05,159
28,0.012,never_sympt,0.4,0.9,6,1e-05,160
